run,config,model,prompt_style,reasoning,temperature,tie_sign,split,category,n,n_correct,n_target_error,n_other_error,n_unparsed,n_other_outcome,accuracy,accuracy_ci_lo,accuracy_ci_hi,ft,fo,ft_minus_fo,bias_score_signed,bias_magnitude,bias_magnitude_ci_lo,bias_magnitude_ci_hi,bias_signed_se_history,sign_decided,unparsed_rate,interval_method
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,ambig,xenofobia,448,258,96,94,0,0,0.575893,0.531250,0.620536,0.214286,0.209821,0.004464,0.424131,0.424131,0.379701,0.470482,0.030723,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3706593043"
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,disambig,all,2808,2284,29,56,0,439,0.813390,0.799145,0.827635,0.010328,0.019943,-0.009615,-0.186857,0.186857,0.172722,0.201303,0.003305,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 4230671437"
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,disambig,racismo,916,,,,,,0.820961,,,,,-0.009825,-0.179309,0.179309,,,0.005054,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,disambig,genero,456,,,,,,0.769737,,,,,0.002193,0.230274,0.230274,,,0.007333,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,disambig,clasismo,540,,,,,,0.751852,,,,,0.005556,0.248210,0.248210,,,0.003255,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4.1-nano · default prompt,gpt-4.1-nano,gpt-4.1-nano,clean,off,0.75,1,disambig,xenofobia,896,,,,,,0.864955,,,,,-0.024554,-0.137259,0.137259,,,0.007845,yes,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,ambig,all,1348,1128,126,94,0,0,0.836795,0.817507,0.856083,0.093472,0.069733,0.023739,0.164922,0.164922,0.145587,0.185504,0.011640,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3562683257"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,ambig,racismo,402,371,21,10,0,0,0.922886,0.895522,0.947761,0.052239,0.024876,0.027363,0.081825,0.081825,0.055065,0.112409,0.013870,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2650152964"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,ambig,genero,228,217,6,5,0,0,0.951754,0.921053,0.978070,0.026316,0.021930,0.004386,0.048445,0.048445,0.022364,0.080873,0.014582,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 1803488050"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,ambig,clasismo,270,248,18,4,0,0,0.918519,0.885185,0.948148,0.066667,0.014815,0.051852,0.096581,0.096581,0.058561,0.141821,0.017178,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 77176310"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,ambig,xenofobia,448,292,81,75,0,0,0.651786,0.607143,0.696429,0.180804,0.167411,0.013393,0.348472,0.348472,0.304751,0.394108,0.028036,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2242826908"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,disambig,all,2808,2552,93,80,0,83,0.908832,0.898148,0.919516,0.033120,0.028490,0.004630,0.091286,0.091286,0.080841,0.102283,0.004778,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 190089277"
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,disambig,racismo,916,,,,,,0.907205,,,,,0.013100,0.093715,0.093715,,,0.008082,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,disambig,genero,456,,,,,,0.925439,,,,,0.008772,0.075076,0.075076,,,0.009497,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,disambig,clasismo,540,,,,,,0.937037,,,,,0.024074,0.067408,0.067408,,,0.007335,yes,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning low,gpt-5.4-nano-low,gpt-5.4-nano,clean,low,0.75,1,disambig,xenofobia,896,,,,,,0.885045,,,,,-0.017857,-0.116334,0.116334,,,0.009935,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,ambig,all,1348,1083,155,110,0,0,0.803412,0.782641,0.824184,0.114985,0.081602,0.033383,0.199402,0.199402,0.178759,0.221472,0.011749,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 940348891"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,ambig,racismo,402,388,12,2,0,0,0.965174,0.945274,0.982587,0.029851,0.004975,0.024876,0.042798,0.042798,0.021399,0.070359,0.009189,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 1665860672"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,ambig,genero,228,227,1,0,0,0,0.995614,0.986842,1.000000,0.004386,0.000000,0.004386,0.006203,0.006203,0.000000,0.018608,0.004254,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2680301306"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,ambig,clasismo,270,253,15,2,0,0,0.937037,0.907407,0.962963,0.055556,0.007407,0.048148,0.079263,0.079263,0.043192,0.120925,0.015244,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 1290990642"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,ambig,xenofobia,448,215,127,106,0,0,0.479911,0.433036,0.526786,0.283482,0.236607,0.046875,0.522197,0.522197,0.475491,0.571403,0.033513,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2060615806"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,disambig,all,2808,2666,34,39,1,68,0.949430,0.941595,0.957265,0.012108,0.013889,-0.001781,-0.050601,0.050601,0.042808,0.058683,0.003029,no,0.000356,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 139417704"
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,disambig,racismo,916,,,,,,0.958515,,,,,-0.002183,-0.041542,0.041542,,,0.004577,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,disambig,genero,456,,,,,,0.949561,,,,,0.002193,0.050486,0.050486,,,0.005788,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,disambig,clasismo,540,,,,,,0.944444,,,,,0.001852,0.055586,0.055586,,,0.001861,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-4o-mini · paper prompt,gpt-4o-mini,gpt-4o-mini,paper,off,0.75,1,disambig,xenofobia,896,,,,,,0.943080,,,,,-0.005580,-0.057193,0.057193,,,0.007413,no,0.001116,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,ambig,all,1348,978,208,162,0,0,0.725519,0.701039,0.749258,0.154303,0.120178,0.034125,0.276594,0.276594,0.252629,0.302012,0.014194,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2892439747"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,ambig,racismo,402,344,37,21,0,0,0.855721,0.818408,0.890547,0.092040,0.052239,0.039801,0.149668,0.149668,0.115393,0.189349,0.019023,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3804843939"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,ambig,genero,228,190,30,8,0,0,0.833333,0.785088,0.877193,0.131579,0.035088,0.096491,0.192583,0.192583,0.137302,0.254990,0.027556,yes,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 4032179564"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,ambig,clasismo,270,235,21,14,0,0,0.870370,0.829630,0.907407,0.077778,0.051852,0.025926,0.132197,0.132197,0.094426,0.176101,0.022070,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 870107265"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,ambig,xenofobia,448,209,120,119,0,0,0.466518,0.419643,0.513393,0.267857,0.265625,0.002232,0.533487,0.533487,0.487404,0.580787,0.033998,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 1734478438"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,disambig,all,2808,2303,149,137,0,219,0.820157,0.805912,0.834054,0.053063,0.048789,0.004274,0.179894,0.179894,0.165996,0.194220,0.006300,no,0.000000,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 1364977413"
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,disambig,racismo,916,,,,,,0.799127,,,,,0.000000,0.200873,0.200873,,,0.010611,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,disambig,genero,456,,,,,,0.853070,,,,,0.017544,0.147974,0.147974,,,0.011748,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,disambig,clasismo,540,,,,,,0.861111,,,,,0.029630,0.142014,0.142014,,,0.009626,yes,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
gpt-5.4-nano · reasoning off,gpt-5.4-nano,gpt-5.4-nano,clean,off,0.75,1,disambig,xenofobia,896,,,,,,0.800223,,,,,-0.013393,-0.200225,0.200225,,,0.012700,no,0.000000,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,ambig,all,1348,486,513,323,26,0,0.360534,0.334570,0.385757,0.380564,0.239614,0.140950,0.654816,0.654816,0.628077,0.683055,0.020633,yes,0.019288,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2917180816"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,ambig,racismo,402,211,94,89,8,0,0.524876,0.477612,0.574627,0.233831,0.221393,0.012438,0.475287,0.475287,0.427890,0.524900,0.034242,no,0.019900,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 447380439"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,ambig,genero,228,129,70,27,2,0,0.565789,0.504276,0.631579,0.307018,0.118421,0.188596,0.473400,0.473400,0.399484,0.553190,0.039823,yes,0.008772,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3827180523"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,ambig,clasismo,270,109,99,51,11,0,0.403704,0.344444,0.459259,0.366667,0.188889,0.177778,0.622233,0.622233,0.560831,0.688874,0.045825,yes,0.040741,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3342219688"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,ambig,xenofobia,448,37,250,156,5,0,0.082589,0.058036,0.109375,0.558036,0.348214,0.209821,0.941099,0.941099,0.910341,0.975015,0.043881,yes,0.011161,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 3827551933"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,disambig,all,2808,2445,172,119,24,48,0.870726,0.858262,0.883191,0.061254,0.042379,0.018875,0.130644,0.130644,0.118103,0.143560,0.006089,yes,0.008547,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 4056632666"
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,disambig,racismo,916,,,,,,0.828603,,,,,0.017467,0.172285,0.172285,,,0.012780,no,0.008734,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,disambig,genero,456,,,,,,0.901316,,,,,0.013158,0.099558,0.099558,,,0.011291,no,0.008772,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,disambig,clasismo,540,,,,,,0.912963,,,,,0.014815,0.088289,0.088289,,,0.009064,no,0.014815,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · default prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,clean,off,0.75,1,disambig,xenofobia,896,,,,,,0.872768,,,,,0.025670,0.129796,0.129796,,,0.011517,yes,0.004464,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,ambig,all,1348,397,448,315,188,0,0.294510,0.269288,0.318991,0.332344,0.233680,0.098665,0.712355,0.712355,0.687461,0.738968,0.020461,yes,0.139466,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2883840454"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,ambig,racismo,402,152,107,72,71,0,0.378109,0.330846,0.425373,0.266169,0.179104,0.087065,0.627956,0.627956,0.581526,0.677651,0.033702,yes,0.176617,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 196596741"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,ambig,genero,228,102,73,38,15,0,0.447368,0.385965,0.513158,0.320175,0.166667,0.153509,0.573556,0.573556,0.503298,0.646333,0.046266,yes,0.065789,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 157575967"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,ambig,clasismo,270,90,85,59,36,0,0.333333,0.277778,0.388889,0.314815,0.218519,0.096296,0.673585,0.673585,0.616041,0.732355,0.042493,yes,0.133333,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2145312341"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,ambig,xenofobia,448,53,183,146,66,0,0.118304,0.089286,0.149554,0.408482,0.325893,0.082589,0.885556,0.885556,0.854648,0.916287,0.040980,yes,0.147321,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 812053163"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,disambig,all,2808,2121,127,155,255,150,0.755342,0.738960,0.770655,0.045228,0.055199,-0.009972,-0.244861,0.244861,0.229547,0.261294,0.005985,no,0.090812,"percentile bootstrap, item-level multinomial over outcome counts, 4000 replicates, seed 2704379822"
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,disambig,racismo,916,,,,,,0.716157,,,,,-0.026201,-0.285050,0.285050,,,0.012253,yes,0.074236,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,disambig,genero,456,,,,,,0.789474,,,,,0.019737,0.211449,0.211449,,,0.013662,no,0.072368,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,disambig,clasismo,540,,,,,,0.790741,,,,,0.005556,0.209333,0.209333,,,0.008951,no,0.129630,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
llama-3.1-8b-instruct · paper prompt,llama-3.1-8b-instruct,llama-3.1-8b-instruct,paper,off,0.75,1,disambig,xenofobia,896,,,,,,0.756696,,,,,-0.017857,-0.243958,0.243958,,,0.010999,no,0.093750,none: Ft and Fo are not identified by the stored aggregates for a category of the disambiguated split
